Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,Price
"Nov 17, 2014",61.63,61.83,61.63,73014.9,,61.83
"Nov 18, 2014",61.735,61.885,61.705,73643.4,,61.725
"Nov 19, 2014",61.845,62.008,61.795,74098.2,,61.945
"Nov 20, 2014",62.04,62.23,61.89,73736.9,,61.93
"Nov 21, 2014",61.845,61.905,61.745,74391.7,,61.767
"Nov 24, 2014",61.7,61.975,61.66,74183.6,,61.86
"Nov 25, 2014",61.915,62.045,61.85,74206.1,,61.865
"Nov 26, 2014",61.865,61.913,61.785,74098.3,,61.795
"Nov 27, 2014",61.74,61.938,61.74,73934.1,,61.86
"Nov 28, 2014",61.815,62.25,61.765,73395.5,,62.21
"Dec 1, 2014",62.06,62.24,61.955,74122,,61.955
"Dec 2, 2014",61.905,62.02,61.795,73988.4,,61.795
"Dec 3, 2014",61.885,61.97,61.815,74519.8,,61.863
"Dec 4, 2014",61.945,61.965,61.79,74855.2,,61.79
"Dec 05, 2014",61.845,61.918,61.78,73866.8,,61.918
"Dec 08, 2014",61.98,62.01,61.825,73816.9,,61.825
"Dec 09, 2014",61.89,61.955,61.835,75951.3,,61.88
"Dec 10, 2014",61.81,62.115,61.77,76247.2,,62.115
"Dec 11, 2014",62.05,62.48,62.01,75808.9,,62.48
"Dec 12, 2014",62.26,62.535,62.21,75813,,62.525
"Dec 15, 2014",62.21,63.175,62.21,76073.9,,63.175
"Dec 16, 2014",62.915,63.66,62.815,76322.7,,63.66
"Dec 17, 2014",63.53,63.89,63.45,76021.3,,63.525
"Dec 18, 2014",63.36,63.4,62.985,75734.8,,62.99
"Dec 19, 2014",63.055,63.34,62.99,75657.2,,63.245
"Dec 22, 2014",63.255,63.33,63.145,75605.5,,63.23
"Dec 23, 2014",63.31,63.51,63.25,74419.1,,63.44
"Dec 24, 2014",63.435,63.565,63.375,74701.3,,63.52
"Dec 25, 2014",63.52,63.52,63.52,74701.3,,63.52
"Dec 26, 2014",63.455,63.69,63.455,74830.6,,63.562
"Dec 29, 2014",63.665,63.715,63.625,75520.8,,63.67
"Dec 30, 2014",63.725,63.795,63.355,76442.3,,63.385
"Dec 31, 2014",63.315,63.39,63.035,76125.7,,63.035
"Jan 1, 2015",63.175,63.455,63.175,76125.7,,63.355
"Jan 2, 2015",63.445,63.502,63.255,74187.6,,63.285
"Jan 5, 2015",63.435,63.495,63.285,76014,,63.345
"Jan 6, 2015",63.375,63.625,63.315,76996.1,,63.575
"Jan 07, 2015",63.52,63.565,63.17,76570.2,,63.28
"Jan 08, 2015",63.205,63.205,62.595,76260.5,,62.675
"Jan 09, 2015",62.5,62.52,62.3,75969.3,,62.355
"Jan 12, 2015",62.355,62.355,62.065,76331.2,,62.075
"Jan 13, 2015",62.1,62.195,61.97,76519.3,,61.98
"Jan 14, 2015",62.085,62.235,62.06,76786.1,,62.095
"Jan 15, 2015",61.885,62.105,61.485,78051.7,,62.065
"Jan 16, 2015",62.085,62.21,61.795,79211.4,,61.87
"Jan 19, 2015",61.655,61.812,61.605,78647.7,,61.645
"Jan 20, 2015",61.825,61.905,61.645,79535.2,,61.655
